Name,Description,Latitude,Longitude,Day
济州机场 CJU,7C0503抵达 09:55 08/4,33.506806,126.492778,Day1
济州酒店 莲洞商圈,建议住宿,33.487500,126.491000,All
Nexon电脑博物馆,★实况 参观游戏+馆内咖啡 08/4,33.472100,126.486000,Day1
Nexon附近石锅拌饭,★实况 午餐 未去黑猪 店名待补,33.473000,126.487500,Day1
Hello Kitty Island,★实况 08/4,33.296500,126.361800,Day1
BHC炸鸡 莲洞店,★实况 晚餐 08/4,33.486800,126.492500,Day1
Hugely Jeju,★实况 橙子雪糕 흥운길83 08/5,33.516300,126.512000,Day2
城山港→牛岛,★实况 电动车环岛 约18:30离岛,33.506000,126.922000,Day2
牛岛黑沙滩炸酱面,★实况 午餐+隔壁咖啡,33.493500,126.967500,Day2
城山附近黑猪烤肉,★实况 晚餐 店名待补,33.462000,126.934000,Day2
酒店自助早餐,★实况 08/6,33.510836,126.519072,Day3
濟州 9.81 公園,★实况 早餐后直奔 08/6,33.390037,126.366509,Day3
涯月 Haejigae Cafe,★实况 9.81后再到 08/6,33.463200,126.310800,Day3
七星街 칠성로,★实况 市区购物 08/6,33.514500,126.526500,Day3
Olive Young 二次扫货,★实况 연동 08/6,33.489500,126.491500,Day3
24小时土豆脊骨汤,★实况 晚餐 店名待补 08/6,33.489700,126.490500,Day3
附近手信店扫货,★实况 晚餐后逛很多手信 回酒店 08/6,33.489300,126.488500,Day3
济州机场 离境,UO699 08/7 07:30,33.506806,126.492778,Day4
